hour,rigid_MW,private_MW,coordinated_MW,renewable_profile_MW
0,10.0,11.980101029222743,9.825512750849622,3.200802163726564
1,10.0,12.38456628625856,9.825551474361703,3.2033772354340067
2,10.0,12.638823776071826,9.825810435941085,3.2125479518854805
3,10.0,12.725546270912139,9.82724197024039,3.2411431502786576
4,10.0,12.638823776071826,9.833770629160625,3.319051652776772
5,10.0,12.38456628625856,9.858267917170174,3.5040090454957333
6,10.0,11.980101029222743,9.933599035294737,3.8850949596521183
7,10.0,11.452991643820836,10.122313839764006,4.5624740164821365
8,10.0,10.83915976356183,10.503764367063447,5.591216367614376
9,10.0,10.18043701476868,11.115401833297568,6.903588360751
10,10.0,9.521714132401755,11.866996330498631,8.262205089964132
11,10.0,8.907876543888149,12.514116952307125,9.306184908287593
12,10.0,8.38062224034815,12.769845384646986,9.7
13,10.0,7.973949403191156,12.49482301103319,9.306184908287593
14,10.0,7.699674912412244,11.777878908057051,8.262205089964132
15,10.0,7.5065665424755785,10.808976497814678,6.903588360751
16,10.0,7.272629439716124,9.703290975945743,5.591216367614376
17,10.0,7.0248838687242765,8.532973138539893,4.5624740164821365
18,10.0,7.1591205622291145,7.535102937230366,3.8850949596521183
19,10.0,7.956458511161909,7.107125839379597,3.5040090454957333
20,10.0,9.072293452209156,7.4352745308611246,3.319051652776772
21,10.0,10.051675796658005,8.237901261757617,3.2411431502786576
22,10.0,10.816784418603445,9.02533687458454,3.2125479518854805
23,10.0,11.450633299811217,9.519123104200096,3.2033772354340067
