province,export,ai_share,cost_S0,cost_S0b,cost_S1,cost_S2,gap_S0_S2_pct,gap_S1_S2_pct,co2_S0,co2_S2,curtail_NOAI,curtail_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2
Gansu,False,0.05,28.197,28.197,28.197,28.197,0.0,-0.0,1.03,1.03,0.0,0.0,0.0,0.0,-0.0,0.0
Gansu,False,0.2,28.197,28.197,28.197,28.197,0.0,-0.0,1.03,1.03,0.0,0.0,0.0,0.0,-0.0,-0.0
Gansu,True,0.05,30.084,30.083,30.083,30.083,0.003,0.0,0.999,0.999,0.0,0.0,0.0,0.0,-0.0,-0.0
Gansu,True,0.2,30.086,30.085,30.085,30.085,0.001,0.0,0.999,0.999,0.0,0.0,0.0,0.0,-0.0,-0.0
Guizhou,False,0.05,21.157,21.148,21.148,20.666,2.376,2.332,0.773,0.755,0.397,0.393,0.0,0.0,-0.0,-0.0
Guizhou,False,0.2,22.025,21.566,21.365,20.29,8.553,5.3,0.803,0.741,0.397,0.279,0.0,0.0,-0.0,-0.0
Guizhou,True,0.05,26.496,26.27,26.093,25.341,4.555,2.965,0.965,0.921,0.066,0.016,0.0,0.0,-0.0,-0.0
Guizhou,True,0.2,27.552,27.258,27.273,27.225,1.199,0.176,1.006,0.993,0.066,0.0,0.0,0.0,-0.0,-0.0
Jiangsu,False,0.05,28.197,28.197,28.197,28.197,-0.0,0.0,1.03,1.03,0.0,0.0,0.0,0.0,-0.0,-0.0
Jiangsu,False,0.2,29.08,28.235,28.275,28.197,3.132,0.277,1.019,1.03,0.0,0.0,1241.29,0.0,-0.0,-0.0
Jiangsu,True,0.05,28.646,28.616,28.584,28.575,0.249,0.032,1.023,1.024,0.0,0.0,0.0,0.0,-0.0,-0.0
Jiangsu,True,0.2,28.953,28.799,28.792,28.777,0.612,0.051,1.02,1.021,0.0,0.0,0.0,0.0,-0.0,-0.0
